,Sentence,Sentiment
45,aapl price momentum weakening going into the close,-1
46,aapl rejected the hod should head lower sitting on the sidelines for now,-1
47,aapl short some 592 49,-1
48,aapl wants lower up waves getting smaller on the 2 min,-1
49,aapl weekly still under the 50 moving average and creating a lower high https t vt7ppzy2uy,-1
50,acad under 2 today,-1
51,acom http stks 1g6x downside breakout looks to be coming soon,-1
52,adbe technical alerts expansion breakout gilligan s island sell setup volume surge and new 52 https t lxx66tknfh,1
53,aegn macd and adx are crossing over the signal lines long setup http stks qzzx,1
54,agn and pypl under pressure along with the market however there were bullish options trades in both this morning https t 9xg5w8nont,0
55,amcn pushing highs,1
56,amd big dumping would not touch it for a while,-1
57,amgn and ucb announce positive top line results from ph3 study evaluating romosozumab in men https t 4hboudr8b8 via yahoofinance,1
58,amrn got sell signal 7 1 14 still in force with target below 1 50,-1
59,amrn it s accumulating i think buy now or hold your peace this should go up today tomorrow,1
60,amrn you can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing currently it is the shorts rejoicing,-1
61,amzn going thru the roof needs a sell,1
62,amzn trailing 12 months operating cash flow rose 48 to 4 98 billion free cash flow decreased 63 to 388 million http stks c06zg,0
63,amzn long into earnings looks good over 600,1
64,amzn new hod with conviction keeping 570 on watch for resistance,1
65,amzn rejected that 604 to the penny weak open and it goes r g within first 30 mins could have 8 10 points in it https t 58teaexxpe,-1
66,amzn trades in mid to upper range no break out yet either direction,0
67,aria bounce player long above 6 17 http stks q0wff,1
68,aria this is the reason why shorts don t show up long steady small climbs the best way to accrue value i am going to,1
69,astx daily technical indicators are bullish breakout watch over 4 58 http stks eovw,1
70,athn seems like a good short setup stop above the 50 day no position,-1
71,atvi ooks pretty bullish for now from a short term perspective it s got a good chance of maybe sliding back to 33 70 stocks investing,1
72,avgo great growth stk also raised dividend clearly a great investment http stks r2f3h,1
73,awr standard poor s affirms a credit rating at american states water company and golden state water company http stks f2p94,1
74,axdx i got bored and took my proprietary profit exit i didn t like the option liquidity and lousy spreads,-1
75,axp looking for continuation with volume increase http stks c8sr,1
76,baba may take a few days wks months watch what happened to fb twtr after they ipo mrkt needs to washout to hunt well need 2 wait stalk,0
77,bac adsk nflx long this morning,1
78,bac in for swing trade looks like want go up,1
79,bbry actually lost 03c per share if you incl vz as no debt and 3 1 in cash,-1
80,bbry ready for take off,1
81,bbry sierra has a great cash balance and impressive growth rate would be a wonderful marriage,1
82,bbry both 1m 6m trends turn bullish today with a resistance level at 11 31 http stks j1qt6,1
83,bbry bye bye sammy hello bb sounds like we ll see some green tomorrow,1
84,bbry hearing rumours of a major joint venture announcement,1
85,bbry let us see 14 today,1
86,bbry nice bounce,1
87,bioc rsi extremely in long s favor looking at bioc historically,1
88,bobe down 2 84 premarket,-1
89,bone earnings stocks poised to pop http stks 2zwe,1
90,brk b spy all time high tomorrow 150k on the a shares dec 13 2007,1
91,bwld bearish engulfing candle,-1
92,bxs bancorpsouth announces extension of merger agreements with http stks s2pdf,1
93,camt looks like might break down i m out,-1
94,cat is hangin on my a thread 1click away from a cliff drop needs follow through or snap back on the vix,-1
95,cdti bounce here on support or h s setup this area is very important for bulls to not lose http stks c0mf3,1
96,celg back near 104 where it opened and rallied higher last wk a good place to take a shot https t zwhthsvfsf,1
97,cern consolidating above 50 200 ma nice long entry here w stop below 10 ma targeting 70 area,1
98,chkp abc bullish pattern targets https t uvmmrsr5zy,1
99,chrm loooooongggggg base,1
100,cien http stks dzu cien seems to have broken out of a major horizontal resistance targets 14 35,1
101,cndo 21 short float shorts likely to take profits into close,-1
102,cnp sell short position on cnp closed for profit 59 367 00 7 75 http stks ghjc,1
103,coh gaining momentum nice buy signals here long over 35 92 http stks t0tah,1
104,cost costco less than stellar day but it held the 50 day moving average,-1
105,cost short finally making gains i will take half my gains at 147,-1
106,crk time to accumulate for a long position with far more upside than downside,1
107,crm sep 40 calls are 35 since entry bang http stks dedm,1
108,crus upgraded to a buy by alpha street research,1
109,csx another strong rail today after breaking intraday resistance at 1 9 80 https t ea4fbvuqgp,1
110,csx is up today to report wall street is expecting eps to be at 0 37 and revenues at 2 732b,1
111,ctrp breaking out here on good vol and a parser buy signal noticed this on bob langs comments looking for 48 fast,1
112,ctrp breaking out https t z2je3rtkch,1
113,ctrp just broke resistance watching for a redtogreen breakout right out of the gate tomorrow morning stocks https t 8vxfuuit04,1
114,ctrp not a bad long chart now that it s through sma100 resistance,1
115,cytx looks like an ascending channel on finfiz http stks f26r4,1
116,dara breaking out,1
117,dcth near hod,1
118,ddd 3d systems ddd stock receives ratings downgrade today at jefferies http stks g1cqd,-1
119,dgi technical alerts gilligan s island buy setup stochastic buy signal lizard bullish hammer candlestick wid http stks c29nu,1
120,dish weakness continues again 49 43 area resistance after last week,-1
121,dmnd green and moving,1
122,dnkn kkd dpz loco inside week buy triggers http stks h0vv8 http stks r0ebn,1
123,dnn picked some up like this going into 2014,1
124,dpz broke out now of his bull flag channel and make new highs but volume is very poor,1
125,dug weekly stochastics finally starting to turn up after long consolidation buying here,1
126,dxcm making higher highs higher lows as it consolidates over past several weeks 26 70 was all time high 2006,1
127,ea points to the two facebook games and accuses znga of copyright infringement http stks g3a1,-1
128,ebay e bay bay working on a couple daily dojis should continue to the downside https t lgu0ybxeze,-1
129,ebay had a nice breakout of the recent consolidation congrats to those who had it http stks 2tad,1
130,edu bouncing nicely after add on posted,1
131,efut hod posted buy pm at 4 40,1
132,eln longs congrats another hod,1
133,enb ca head shoulders bullish reversal setup and breakout oil and gas pipleline stock uso,1
134,endp we saw a large order in this one last week someone also accumulating may jun 35 s calls today,1
135,endp was looking for a long entry but today s price action wasn t appealing,0
136,endp being sued by ftc nobody will buy them with that hanging over their heads,-1
137,endp exit reversal 11 x 3k shares 330 now long not getting follow through either side of price action,1
138,esi on lows down 1 50 to 2 50 bk a real possibility,-1
139,es f nice little cup and handle shaping up on the 15 minute end of day spy spx favours a good day for the index will we see a gap open,1
140,etn upgrade today by ms to overweight excellent company and leadership,1
141,expe working on the second leg of its reversal run as it breaks another down trend and continues higher https t 76dsjysyr0,1
142,fast gww daily sales slowing again pretty timely coincident indicator https t m6bkhbkzk5,-1
143,fb rejecting highs shortable at 109,-1
144,fb aapl nke jwn bearish charts keep getting worse,-1
145,fb tsla cracking lower early short correction stocks,-1
146,fb 110 20 is starting to show some relative strength and signs of potential b o on the daily,1
147,fb big money is pouring into facebook from all directions http stks sowg,1
148,fb dax says bye bye 2013 finished a great yr w 28 plus,1
149,fb i ve been dead on so far such a bloated valuation https t czcf8kbrlt,-1
150,fb nice buyable intraday dip right here,1
151,fb shifting on the 15 minute here suspect to take highs,1
152,fb bot some 78 47 breakout from the consolidation zone d,1
153,fb churning in high volume ipo price lot s of sellers trying to get out might take a while here to consolidate before moving higher,-1
154,fb down 7 5 from this bearish pattern considering the bullish sentiment that s an impressive bearish move https t tajf0ch2qh,-1
155,fb gettin in the buy zone soon,1
156,fb gone green on day,1
157,fb i guess they want it down look at the those sell orders,-1
158,fb popping up to hod,1
159,fb slight green may be runner later,1
160,fb still a dog going much lower this week,-1
161,fb they are hitting everything in sight short it but twtr,-1
162,fb trend hits mid 110 s and drops,-1
163,fb trending nicely intraday,1
164,fb turns back down in early trading https t reuf5pzhbm,-1
165,fb watching for bounce tomorrow,1
166,fio won t stay down,1
167,free ha heeeeeere comes the pump so glad i picked up 9k end of day get ready for the bull ride,1
168,fti breakout today after reporting earnings last night,1
169,gale breakout coming soon,1
170,gdx gdxj jnug strong move today for the junior gold miners keep an eye out for a gap fill,1
171,gevo plunging back to 3 55,-1
172,gild is expanding its research facilities keeping up with the pace of innovation https t uoe7fj4lop,1
173,gild 91 now support ibb bib https t gioof6zbkv,1
174,gild sandbagged the guidance so the can use that last 3 billion up cc was cautiously optimistic wait til next er for confirmation,0
175,gild chart with ibb back over support https t gprz2ujfc4,1
176,gld http stks 44ow on closer inspection resistance 10 points north at 200d and downward trendline chart 2 of 2,-1
177,gld http stks jr8 daily chart though rsi and stoch point at a possible move up there s a lot of resistance,1
178,gmcr with the way this has been acting it may fall to 65 today horrible action since it hit 70 yesterday,-1
179,gnrc finding support at its 10 day line so far,1
180,goog testing the 200 day after some consolidation http stks h0cpj,1
181,goog breakout very likely medium target 700 http stks 1lpz http chart ly lgb94rr,1
182,goog resistance turned support it,1
183,googl hit with lawsuit from russian search engine yndx http stks b1kd8,-1
184,googl gets an upgrade price target 970,1
185,googl is a short below 740 into the upper bb and is overbought,-1
186,googl is setting up above its 50 day moving average https t ttm9rnfoxj,1
187,gpro down 25 since tue morning,-1
188,gps gap september comparable store sales 4,-1
189,grpn might be selling off ahead of p earnings,-1
190,gs is looking weak while this market is moving higher not a good sign unless gs can get above 157 early short below 154 00 today,-1
191,gs sells flat i am out,-1
192,gtat will re enter short on bounce,-1
193,gte long at 7 44,1
194,hal if bulls lucky enuff to get an upside gap fill better take it wouldn t chase it here http stks r12us,0
195,hcp come to the party and buy this going to give solid gains and a dividend,1
196,hitk resuming advance into new historical highs,1
197,hlf shorts made a killing last couple days might make more if cover and buy back,-1
198,hpq says breakup will cost billions but sees savings too http stks p27hz,-1
199,hrl ready to pop http stks s0ny4,1
200,hsc receives 7 year 50m contract at new saudi arabian steel mill,1
201,hyg potential continuation uptrend on a 60 15 4 charts http stks t1qp6,1
202,hznp have not seen vol like this since the runup let us see one more dip to 2 0x,-1
203,iaci http stks tju looks good on the weekly chart,1
204,ibio up 10 in premarket ready for lift off,1
205,ibm staying strong,1
206,idcc 89 share total value of company after crunching s the 4g technology is their diamond in the rough,1
207,iff technical alerts stochastic sell signal 200 dma support and 50 dma support http stks p12qy,-1
208,imrs it s important to be pragmatic in analysis high prices could offer head winds bullish story intact evenif the market rolls over,1
209,ino up up and away,1
210,ino back in this am small post,1
211,intc aapl strong tech leads dow higher,1
212,intc finally some nice downside move looking for the 31 handle to break,-1
213,intu is in the process of streamlining its structure especially through divestment of non core businesses https t dr5banun2u,1
214,inve see ya above 8,1
215,isr isoray up 6 and high on volume http stks ifpo biotech,1
216,isrg isrg short http stks f1vvu http stks c1qrm,-1
217,isrg break out confirmed bought leaps good trading,1
218,isrg pt raised to 700 from 640 at leerink keeps outperform rated,1
219,iwm buy programs popping iwm for close print cheap money means higher stock prices spy robot buying,1
220,iwm relative weakness is pretty apparent but the short boat is getting full on this one i prefer the boat closer to empty,-1
221,iwm same conditions that sent markets to tumble all hitting this week,-1
222,jd down 20 in after hour market anyone care to explain why,-1
223,je looks like we are bouncing would be nice to finish over 6 today and make the hammer nice volume from 5 77 bottom fingers crossed,1
224,jnk http stks 2fcm does not want to go down risk appetite still high,1
225,kcg bot at 2 24,1
226,kep breaking out when the market pulls back http stks r0cet,1
227,kgc http stks 3qta oversold falling wedge and positive divergence place it on the launch pad looking for a bounce,1
228,kior my god market getting crushed today got to hold if anything g should recover some tomorrow i imagine,-1
229,kitd looking for a oversold bounce,1
230,kndi china electriccar maker china car sales 7 8 also may feed off tsla momentum run lately,1
231,kndi break that hod on volume and we have a nice consolidation completed for another run,1
232,kndi let s see some higher highs and higher lows rest of the day slow and steady,1
233,ko had missed earnings expectations for the last two quarters so today’s strong results came as a major surprise http stks d0rhf,1
234,lee http stks 24km lee ready to exit bankruptcy strong volume today,1
235,line biggies must be loading up here at lows,1
236,lnkd daily phase 2 retest price experiencing early rejection can it retest http stks t04xx,-1
237,lnt increases annual dividend target to 1 80 share from 1 70 share,1
238,lscc accumulation chart continues to make new highs showing accumulation continuing to take place http stks adpo,1
239,lulu outlook q1 2013 lost revenue in the range of 12 million to 17 million not good,-1
240,lulu http stks o17i bounced off support early in week now indicators turning up rsi macd smi worth a look,1
241,love continues to consolidate above previous break out area,1
242,ma http stks 1cyn continues to consolidate base here,1
243,mflx up pre mkt looks like gap has been filled lookin 4 short opt here,-1
244,mos looking good here at 58 65 calls are active in this month and weekly,1
245,mpwr ceo sells 450k april 15th meh,-1
246,msft sql server revenue grew double digit with sql server premium revenue growing over 30 http stks ir2f,1
247,mtd mettler toledo ready for a breakout,1
248,mxwl oh snap just went long again lt,1
249,neon oversold,1
250,nflx 1 104 80 long streaming services rapidly outpacing traditional cable,1
251,nflx 3 of the lows,1
252,nflx easy pop to 500 by end of feb then steady as she goes for 600 into second earnings report 800 year end no matter what,1
253,nflx i say it s time to short at this point,-1
254,nflx vision short term consolidation then movement higher http stks j05uu,1
255,nflx and tsla making all kinds of gains 📈,1
256,nflx small pos short 180 wkly puts,-1
257,nihd insiders got this one wrong looking for bottom rsi under 30,-1
258,nke gapping up to all time highs http stks q1jau tradeideas http stks r1j6c,1
259,nq got hit hard lower this am looks like it has found support a 18 89 http stks s052z,-1
260,nsm ascending base breakout starting to gain traction strong stock http stks gbsh,1
261,nuan held up well after the big gains maybe we re finally on the move on this its still very undervalued and has major upside,1
262,nugt gold above 1400 wow,1
263,nugt longer term bullish,1
264,nvda sideways,0
265,onty continues to base as debate lingers ont 10 data next potential catalyst if positive stock quickly moves to 10 downside limited,1
266,osur up 33 since 6 25 buy signal resistance 5 33 expect 1 pullback 2nd half of day or 2 break abov 5 33 continue rally for 4 5 days,1
267,oil slid to a four year low after opec kept its oil production unchanged http stks a1ix4 uso wti brent,-1
268,p bull flag on the daily earnings on the table tomorrow 12 move will straddle this one into earnings lots of vol guaranteed here,1
269,pay 2nd time test of the 21 20 30 b o zone still not breaking out moved my stop up to 20 80,0
270,pcln back to back intraday reversals look out below shorts moving in,-1
271,pcln trying to break daily trend line big move could happen https t gy0adb2jsq https t kpbbcgq2xy,1
272,pcln runs into the 50sma on the acquisition news,1
273,pg ackman making the big added efficiency argument betting on operational imporvement in a huge conglomerate can go either way i am going to,1
274,pkt momentum building for breakout trigger long setup http stks exvu,1
275,plug closed short position small gain not interested in options expiring worthless,1
276,plug bear raid,-1
277,ppg descending triangle but i am liking it for an upside break http stks o9ny,1
278,prgn a bottom right here,0
279,prlb hanging tough in down market due to analyst upgrades last week up almost 3,1
280,pypl great vol flow trade here love this company long time,1
281,qcom the indicator rsi is over 50 which stands at 56 1 an upward movement is expected https t yfa9jcusqa,1
282,qcom chart qualcomm short 61 8 retracement trendline and resistance https t 2wqqh35koy,-1
283,qcor just added 3 000 shares 28,1
284,qcor a little pullback is fine but if this erases all of todays gains i cannot believe the manipulation its capable of,-1
285,qihu totally missed this one was about to jump in on that 60 break test but didn t congrats shorts,-1
286,rad all my charts are flashing oversold,0
287,rad i would consider this opportunity to add my position because the company is on the right track they are still improving sales,1
288,rcon some upside today this thing is severe low float if there is catalyst for this guy it can run,1
289,rdc rowan expands share repurchase program to 150 million,1
290,ren bottoming out again good time to buy,1
291,rig who is ever pushing this is crazy get ready for suspended dividend turning into growth stock blow out earnings and major buyback lol,0
292,rimm spx nya compq djia all going down,-1
293,rnn more bleeding monday,-1
294,rnn day traders flushed out it should start going up slowly from now on,1
295,rnn staying above the open a very good sign,1
296,rost nov 90 calls 2 08 go long until exp i am going to unless europeans keeps f ing around,1
297,rost ross stores upgraded to outperform at rbc capital markets http stks j0q9t,1
298,rsh looking for first profitable quarter in 3 years long strong,1
299,rsol bought 3500 shares today,1
300,russ don t catch falling knives but i think an entry is coming soon on this,1
301,rxii tang really is toxic they keep bringing the share price down at least they could let it climb a little before dragging it down,-1
302,sap q1 disappoints as software licenses down real problem cloud growth trails msft orcl goog crm adbe https t jndphllzq5,-1
303,save breaking it s downtrend line on increasing volume a move above 20 57 could see more upside http stks l8y4,1
304,save long https t yejus9cmlc,1
305,sbux down pm from db downgrade pt cut from 70 to 64,-1
306,sbux downgraded to neutral at deutsche bank price target reduced to 64 from 70,-1
307,sbux getting sold here,-1
308,sbux heading for the 200dma and certain doom if it can not hold there,-1
309,sbux inverted head shoulders pattern in the works bullish,1
310,sds 1 46 15 32 picking up some speed may 16 calls now 35 19 http stks 3eik next week 16 calls 11c http stks 3eil,1
311,siga bid for reargument denied by judge,-1
312,sina even though the report is untrue and has been proven unture the damage is done no one wants to touch it now,-1
313,skh http stks 163e long setup watch for continuation and volume expansion here hot sector,1
314,skx turning coming from far could go far stock price implies you pay nothing for the business,1
315,slv 4 44 at 18 now awful down from 42 50,-1
316,slv pos been saying it for 2 years going lower forget about it or go short,-1
317,slw is down but weekly 34 calls 28 95 23 x 25 have 321 volume worth a chance here jmho http stks 1qfg,1
318,smh got a sell signal on 6 4 and needs to take out 39 28 to go higher otherwise headed lower than 37 60 gap below at 35 38,-1
319,sonc amazing run since middle of march obvious that the quality tastiness of their burgers is not being factored into this price advance,1
320,sppi building rs sweet i want this to break a new 52week the earnings growth justifies way higher,1
321,spy still wants higher i think,1
322,spy mitk fast 56pc dive http stks 3ffn,-1
323,spy could the pride of social media be gettin ready to fall fb chart rolling over,-1
324,spy don t hang your bull hat yet next week we will pop higher on qe3 hope on back of fed s 2 day meeting,1
325,spy less than 0 2 down and people are calling it bearish some heading for exits already maybe 1 down will be the crash disturbing,-1
326,spy long 1 2 position 137 89,1
327,spy looks like bear traps getting laid faster than cadbury creme eggs by the easter bunny,1
328,spy tomorrow party time for the bears goog and msft 5 5,-1
329,spy bull move ended waiting for next setup,-1
330,spy c mon bulls buy dips,1
331,spy extreme win today 2 cents above 2009 low on 10 year and spy up 2 percent life is a bowl of cherries great short setting up,-1
332,spy http stks 1mir we re holding above wednesday and thursday closes i m leaning bullish small postions waiting,1
333,spy weak close,-1
334,spy wouldn t be surprised to see a green close,1
335,ssys just re tested lows should rise steadily from here it hit 81 just 21 trading days ago and 130 86 on sept 18 it ll do it again,1
336,stx long play another consistent profit zone check it out https t dqfuzozylh https t ggne4ayzqn,1
337,stx move off the bottom but still in bear market datasecurity emc sndk wdc https t vkydwpxesn,-1
338,tnh looks like an explosive setup if it can break the 20ema and 105 level http stks b1svh,1
339,trip maintains neutral rating at jp morgan pt cut 61 from 66,0
340,trow ascending triangle gives a bullish bias to this chart breakout above 84 will be positive http stks g0ls5,1
341,trx http stks 1kkk long setup macd cross,1
342,tsla 5th wave down on the 1 hour chart hammer candle developing close to 200 sma might be a good spot for calls,1
343,tsla study the charts pullback time https t zmdg0fb3i7,-1
344,tsla i see more downside in next two weeks be careful 20 dollars drop potential vs 10 up moved,-1
345,tsla recalls 2 700 model x vehicles shares volatile https t tckqznmiqx tsla tech stockmarket https t femhjtamqj,-1
346,tsla to recall 2 700 model x suvs for seat belt fix,-1
347,tsla wish had my puts back but see if we can find support around 243 39 and pop up so that i can get back in https t hfklq3wobv,-1
348,tsla you have to love these types of articles ss interest rose on 12 15 on day before we hit our lows http stks c1qkr,-1
349,tsla announces a recall and the stock doesn t sell off this stock is teflon won t last forever,1
350,tsla gyrating s1 above gap keeping an eye on s2 http stks jqfb,1
351,tsla is now up 57 from its february low amazing rebound,1
352,tsla looking good i d love to see a basing action here letting the rsi take a breather http stks g1t7c,1
353,tsla lots of green on the 5 min watch the hourly 259 33 possible resistance currently 257 00,1
354,tsla not dipping testing the 200 day ma https t jeplmzqkgw,1
355,tsla on fire what is that 6 up days in a row someone neeeeds in,1
356,tsla recall,-1
357,tsla recall model x https t b7izya4bue,-1
358,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,-1
359,tsla recalls 2 700 model x cars stock dropping hard,-1
360,tsla steaming up again this stock is relentless at the moment,1
361,tsla stock gaining steam plus other notable moves from this week https t hz0wdp5za1,1
362,tsla upgraded to buy argus w 333 pt you d almost think after 100pt run in 5 weeks this would be the sell signal,1
363,tsla weakest in todays dt watchlist,-1
364,tsla yeah let us go down to 230s lol,-1
365,tspt long 8 00,1
366,twtr the best scenario going forward is this stock slowly falling everyday which is quite probable,-1
367,twtr sad the only thing to move this is a takeover rumor only to be sold off next day,-1
368,txrh reports q1 eps of 0 37 versus the estimated 0 35 beating by 0 02 eps were up 19 from the same quarter last year,1
369,tyc just about to break out to new highs lots of technicals looking great right now,1
370,tza is a rocket ship,1
371,tzoo a close above 28 64 and we are ready to rock and roll,1
372,ubnt still having some trouble at the resistance line should resolve soon cheri1 strattonite http stks c0su4,0
373,ugaz will this cold put a dent in the massive horizontal rig production who knows http stks p1v6p,-1
374,utsi http stks 15ur long setup reported very good earnings,1
375,uup at major resistance right now can go much higher if it can break above may take several attempts few days to a week,1
376,uvxy put the chum out there at key support then next level down careful,-1
377,v a potential bearish shark pattern if point b 226 to be taken out http stks i0ggh,-1
378,vips similar pattern like beginning of may did you sell same now will go up much higher after this drop,1
379,vmw got a nice push today following small sweepers of may c this morning,1
380,volc this stock has a very very very very very high probability of rallying tomorrow and or early next week,1
381,vrtx vertex monthly lower hi lower lo long term uptrend intract so far,1
382,vrtx early technical buy signal for confirmation 86 it needs some fundam incentive https t quysrqfo2x,1
383,wac trade continuing very nicely from yesterday almost up 3 from yesterday entry deal pricing tonight looking very strong here spy,1
384,wfm bought a little yesterday hoping for an earnings pop,1
385,wft closng higher from here,1
386,wgo s bod was right to reject the offer that company is low because of the economy not because of any type of mismanagement or anything,0
387,wmt bullish with macd crossover with rsi and sto going up above 73 4 ma50 res could run http stks ggcq,1
388,wx decent pull back,-1
389,wynn big bounce,1
390,xlb the weakest sector this year and possible false breakout http stks dl1z,-1
391,xlf http stks 1kj9 bounced off target buy area bought skf as a hedge watch 50ma s slope,-1
392,xli potential intermediate top in an uptrend on a 60 15 4 charts http stks j1tdf,1
393,yang double bottom 5 2,1
394,yelp this goes green and so many shorts are toast,1
395,yelp wayyy overvalued right now i am going to should be trading single digits may take a short pos into earnings near term target 18,-1
396,yhoo a breakout above 29 83 would constitute a technical entry for the short term trader http stks jkuf,1
397,yhoo about to break out on the 5 min,1
398,yhoo fishy action new party interested dailymail bounce retreats not short by any means but action questions big up move thoughts,0
399,yhoo making new hod,1
400,ymi http stks xyf long setup closed above the 20ma macd cross november catalyst,1
401,yndx and the price of some stocks was 2 times lower then annual earnings i could not resist i was buying when everyone was selling,1
402,yoku high volume blast off friday goes higher http stks qsal,1
403,zagg getting ready target 15 plus on a close over 13 50 on better than average daily volume http chart ly lha44tn,1
404,znga http stks 3rdu looking for a test at 9 25 resistance point cc cfrazierjr fletchtrade traders,1
405,zsl looking very weak could be a good short setup,-1
406,aapl high of day just hit back at it tomorrow,1
407,aapl key is to breakout above 460 on solid volume or else it s a no trade for now,1
408,aapl news is becoming very bullish again http stks tmu,1
409,aapl short term fund redemption liquidations should have the channel cleared soon and on solid footing 520 is new floor come july,-1
410,aapl test the high today and probably go beyond after hours,1
411,amrn full bull call spread ranging july to jan 15 let us see what this baby does,1
412,amzn 4 period rsi is down at 20 just read connors book on trading strategies,1
413,amzn breaking,1
414,brcm raises revenue forecast,1
415,fb small long 109 25 via calls,1
416,ilmn piper jeffries raises pt i remain long,1
417,isrg trading at all time high after strong earnings report with 4 days of short interest,1
418,mako hanging in well today still in a basing pattern have eyes on it,1
419,mcp rolling over for a new intraday low bottom pickers continue to get destroyed,-1
420,ocn has the stuff will be looking to add shares if we get a new high breakout,1
421,pcln back over up trendline from 10 4,1
422,renn topping tail 5 min chart at 7 31 short from here,-1
423,spy vxx aapl the parties over loaded on uvxy volatility is back,-1
424,spy bumping its head on declining daily 8ma as overhead resistance then the big brother 50ma just above that,-1
425,tsla x recall not a big deal the problem is now they will have an excuse to guide way way lower,0
426,tsla bad day to short,1
427,vxx adding to position here,1
428,vxx starting to creep up while spy sits near hod,1
429,s outokumpu technology business will begin trading on the nordic exchange in helsinki starting oct 10 becoming the sixth company to list on that exchange this year the company said friday,0
430,a spokesperson told wwd to expect a 50 50 mix of clothing and home decor,0
431,adp news dec 11 2008 finnish construction and engineering company outotec oyj omx ote1v said today it won a eur 28 million usd 36 8 m order to expand the phosphate concentrator in siilinjarvi of norwegian minera,1
432,adp news dec 11 2008 finnish power supply solutions provider efore oyj omx efo1v said yesterday it opened a technology research and development r d laboratory at helsinki university of technology,0
433,adp news feb 11 2009 finnish management software solutions provider ixonos oyj hel xns1v said today its profit rose to eur 3 5 million usd 4 5 m for 2008 from eur 3 1 million for 2007,1
434,adp news feb 11 2009 finnish wood products technology supplier raute oyj hel rutav said today its profit decreased to eur 4 7 million usd 6 1 m for 2008 from eur 6 6 million for 2007,-1
435,adp news feb 11 2009 finnish wood products technology supplier raute oyj hel rutav said today its profit decreased to eur 4 7 million usd 6 1 m for 2008 from eur 6 6 million for 2007,0
436,adp news feb 12 2009 finnish it solutions provider affecto oyj hel afe1v said today its profit rose to eur 8 5 million usd 11m in 2008 from eur 7 million in 2007,1
437,adp news feb 12 2009 finnish construction company lemminkainen oyj hel lem1s said today its profit decreased to eur 63 5 million usd 81 1 m for 2008 from eur 80 6 million for 2007,-1
438,adp news feb 12 2009 finnish construction company lemminkainen oyj hel lem1s said today its profit decreased to eur 63 5 million usd 81 1 m for 2008 from eur 80 6 million for 2007,0
